origin_dist,dest_dist,obs,gan,diff,pct_diff
19,23,2,9.773929,7.773928642272949,3.8869643211364746
19,24,11,1.2833172,-9.7166827917099,-0.8833347992463545
19,25,15,14.095556,-0.9044437408447266,-0.060296249389648435
19,26,1,0.9356581,-0.06434190273284912,-0.06434190273284912
19,27,92,61.807964,-30.192035675048828,-0.3281743008157481
20,2,2,0.07735488,-1.9226451218128204,-0.9613225609064102
20,3,1,1.258865,0.25886499881744385,0.25886499881744385
20,9,3,5.0179214,2.0179214477539062,0.6726404825846354
20,16,7,3.2005348,-3.7994651794433594,-0.5427807399204799
20,24,1,0.16666855,-0.8333314508199692,-0.8333314508199692
20,25,3,2.4313567,-0.56864333152771,-0.18954777717590332
20,26,3,0.033767756,-2.966232243925333,-0.9887440813084444
21,5,2,0.90588385,-1.0941161513328552,-0.5470580756664276
21,9,7,1.6813408,-5.31865918636322,-0.7598084551947457
21,12,1,2.7627282,1.762728214263916,1.762728214263916
21,13,4,0.1106034,-3.8893966004252434,-0.9723491501063108
21,24,7,0.545492,-6.454508006572723,-0.9220725723675319
21,25,1,5.774741,4.774741172790527,4.774741172790527
22,1,7,1.0509152,-5.949084758758545,-0.8498692512512207
22,3,10,8.001695,-1.998305320739746,-0.1998305320739746
22,5,3,0.5405807,-2.459419310092926,-0.819806436697642
22,7,1,0.34782538,-0.6521746218204498,-0.6521746218204498
22,9,17,31.909994,14.909994125366211,0.8770584779627183
22,15,35,33.22745,-1.7725486755371094,-0.05064424787248884
22,18,11,0.011417838,-10.988582162186503,-0.9989620147442276
22,22,1,0.29094985,-0.7090501487255096,-0.7090501487255096
22,23,23,34.788506,11.788505554199219,0.5125437197477921
22,24,3,0.29987696,-2.70012304186821,-0.90004101395607
22,25,2,0.43640998,-1.56359001994133,-0.781795009970665
23,1,37,26.934643,-10.065357208251953,-0.27203668130410685
23,2,4,2.240258,-1.759742021560669,-0.43993550539016724
23,3,55,81.92728,26.927276611328125,0.4895868474786932
23,4,1,2.64886,1.648859977722168,1.648859977722168
23,5,13,8.798771,-4.201229095458984,-0.3231714688814603
23,6,4,3.7894108,-0.21058917045593262,-0.052647292613983154
23,7,16,9.0624695,-6.937530517578125,-0.4335956573486328
23,8,5,4.1230674,-0.8769326210021973,-0.17538652420043946
23,9,333,303.3475,-29.652496337890625,-0.0890465355492211
23,10,4,4.886831,0.8868308067321777,0.22170770168304443
23,11,5,4.480423,-0.5195770263671875,-0.1039154052734375
23,12,5,9.13762,4.137619972229004,0.8275239944458008
23,13,1,0.60924935,-0.3907506465911865,-0.3907506465911865
23,14,7,4.546739,-2.453260898590088,-0.35046584265572683
23,15,205,236.12158,31.12158203125,0.15181259527439026
23,16,2,1.5002652,-0.4997347593307495,-0.24986737966537476
23,18,1,0.28419977,-0.7158002257347107,-0.7158002257347107
23,22,2,0.34042037,-1.6595796346664429,-0.8297898173332214
23,23,314,336.25528,22.255279541015625,0.07087668643635549
23,24,44,16.979109,-27.020891189575195,-0.6141111633994363
23,25,13,13.969102,0.9691019058227539,0.07454630044790414
23,26,3,0.7725784,-2.2274215817451477,-0.7424738605817159
23,27,1,1.394846,0.39484596252441406,0.39484596252441406
24,1,2,0.6180149,-1.3819851279258728,-0.6909925639629364
24,3,2,2.299987,0.2999870777130127,0.14999353885650635
24,4,1,0.11204187,-0.8879581317305565,-0.8879581317305565
24,5,6,1.869365,-4.130635023117065,-0.6884391705195109
24,6,2,0.027411003,-1.9725889973342419,-0.9862944986671209
24,9,5,1.1346025,-3.8653974533081055,-0.7730794906616211
24,10,2,0.23803185,-1.7619681507349014,-0.8809840753674507
24,12,4,1.4308448,-2.569155216217041,-0.6422888040542603
24,14,2,0.76337194,-1.2366280555725098,-0.6183140277862549
24,15,3,0.26870382,-2.731296181678772,-0.9104320605595907
24,23,1,0.083433814,-0.9165661856532097,-0.9165661856532097
24,24,4,14.615815,10.615815162658691,2.653953790664673
24,25,2,7.445286,5.445285797119141,2.7226428985595703
25,1,3,0.13989155,-2.8601084500551224,-0.9533694833517075
25,5,3,7.5855236,4.58552360534668,1.5285078684488933
25,9,4,0.2904231,-3.709576904773712,-0.927394226193428
25,12,7,16.028122,9.028121948242188,1.289731706891741
25,14,1,0.14730032,-0.8526996821165085,-0.8526996821165085
25,24,3,0.17179742,-2.828202575445175,-0.9427341918150584
25,25,9,5.808775,-3.191225051879883,-0.354580561319987
25,27,2,0.06989032,-1.930109679698944,-0.965054839849472
26,1,21,9.033047,-11.96695327758789,-0.5698549179803758
