"TAZ","access_general_sov_attr","access_nearby_sov_attr","access_walk_attr","access_transit_attr","access_employment_sov_attr","access_general_sov","access_nearby_sov","access_walk","access_transit","access_employment_sov"
1015,0.00,0.00,0.00,0.00,0.00,12.3094,8.66035,1.0578,2.10578,11.4013
1016,5271.50,998.8,0.0483972,5271.50,1295.00,12.3019,8.92488,0.377043,2.28275,11.4137
1017,1313.10,248.1,0.0179966,1313.10,310,12.4647,9.22463,0.74476,1.64792,11.5065
1018,793.6,207.2,1.59648,793.6,6,12.5971,9.29559,1.47951,3.00775,11.5756
1019,869,205.1,0.860324,869,36,12.4734,9.2633,1.20333,2.56535,11.5027
1020,26820.00,616.3,11.6613,26820.00,527,12.2398,8.595,0.724352,0.780243,11.3793
1021,2581.30,571.3,1.49694,2581.30,349,12.5912,9.48885,1.85847,2.82206,11.5472
1022,453.9,118.9,0.943991,453.9,2,12.5751,9.29402,1.46963,3.06352,11.5589
1023,643.6,150.2,0.684569,643.6,43,12.2728,9.00076,0.420086,3.44658,11.3823
1024,1517.10,327.7,0.242158,1517.10,226,12.3176,8.98981,0.584806,3.65521,11.4042
1025,1126.30,282.3,1.96011,1126.30,50,12.0467,8.31353,0.00,1.96326,11.2796
1026,548.3,142.1,1.07572,548.3,8,12.496,9.14201,1.48491,2.68937,11.5154
1027,5343.20,900,0.0368101,5343.20,1750.00,12.4704,9.12205,0.471387,1.53145,11.5144
1028,417.7,107.7,0.784642,417.7,4,12.259,9.15108,0.23581,2.68333,11.3845
1029,53.2,14,0.108418,53.2,0.00,12.4684,9.14791,1.41669,2.68755,11.4959
1030,3818.00,68.7,0.979543,3818.00,56,12.4854,9.18517,1.2856,2.24232,11.5025
1031,0.00,0.00,0.00,0.00,0.00,12.2463,8.61487,0.503917,2.19035,11.3842
1032,2226.20,499.2,0.81285,2226.20,130,12.4545,9.19549,1.48543,2.66327,11.488
1033,91.9,19.5,0.00439996,91.9,17,12.1413,8.50726,0.00,2.65149,11.3274
1034,171.6,30.2,0.00,171.6,52,12.1717,8.49265,0.00,0.395946,11.3724
1035,757.4,190.1,1.41035,757.4,32,11.9218,8.16234,0.00,1.75836,11.2287
1036,0.00,0.00,0.00,0.00,0.00,11.877,8.04554,0.00,0.471116,11.2136
1037,2708.10,644.6,3.05752,2708.10,119,12.3761,9.04707,1.13572,2.2181,11.4545
1038,397.1,81.2,0.0187065,397.1,57,12.0991,8.46101,0.311084,2.62431,11.3177
1039,147.9,34.9,0.227693,147.9,14,12.0969,8.42422,0.00,2.7113,11.3173
1040,519.2,127.8,0.879065,519.2,29,11.6916,7.83317,0.00,0.907582,11.1069
1041,3420.40,628,2.33253,3420.40,323,12.1298,8.68115,1.01657,2.03104,11.327
1042,169,44.2,0.334788,169,1,12.1362,8.5209,0.00,2.82741,11.334
1043,1363.60,283.1,0.383029,1363.60,256,11.7404,7.90674,0.00,1.13158,11.1331
1044,178.4,41.3,0.231561,178.4,20,11.83,8.02124,0.00,1.48507,11.181
1045,782.8,185.2,0.810088,782.8,28,12.2026,9.03425,1.63105,2.36447,11.3538
1046,933.6,191.1,0.0197496,933.6,153,12.0047,8.41235,0.668764,2.6961,11.2574
1047,1543.10,392.8,2.88966,1543.10,30,12.0489,8.5285,0.844446,2.74376,11.2773
1048,213.9,56,0.429713,213.9,1,11.4868,7.61522,0.00,0.00,10.9677
1049,906.3,224.8,1.33131,906.3,18,12.0717,8.44806,0.562591,1.57435,11.3051
1050,1736.80,383.9,0.331308,1736.80,117,12.0715,8.75381,1.47814,1.98222,11.2868
